4,3,id,任务id,int,Long,id,1,0,,1,,,,EQ,input,"",1,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
5,3,name,任务名称,int,Long,name,0,0,,1,1,1,1,LIKE,input,"",2,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
6,3,value,任务价值,float,Long,value,0,0,,1,1,1,1,BETWEEN,input,"",3,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
7,3,ddl,截止日期,datetime,Date,ddl,0,0,,1,1,1,0,EQ,datetime,"",4,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
8,3,duration,持续时长（小时）,float,Long,duration,0,0,,1,1,1,0,EQ,input,"",5,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
9,3,chain,任务所属产业链,varchar(10),String,chain,0,0,,1,1,1,1,LIKE,input,"",6,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
10,3,priority,任务优先级因子,float,Long,priority,0,0,,1,1,1,0,EQ,input,"",7,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
11,3,resource,任务资源种类,int,Long,resource,0,0,,1,1,1,0,EQ,input,"",8,admin,2023-11-14 11:34:07,"",2023-11-14 11:37:24
15,5,id,企业id,int,Long,id,1,1,,1,,,,EQ,input,"",1,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
16,5,name,企业名称,varchar(10),String,name,0,0,,1,1,1,1,LIKE,input,"",2,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
17,5,resource,企业拥有资源种类,int,Long,resource,0,0,,1,1,1,0,EQ,input,"",3,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
18,5,address,企业所在地,varchar(10),String,address,0,0,,1,1,1,1,EQ,input,"",4,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
19,5,chain,企业所属产业链,varchar(10),String,chain,0,0,,1,1,1,1,LIKE,input,"",5,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
20,5,jointime,加入时间,date,Date,jointime,0,0,,1,1,1,0,EQ,datetime,"",6,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
21,5,coalition_id,所属联盟编号,int,Long,coalitionId,0,0,,1,1,1,0,EQ,input,"",7,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
22,5,coalition_name,联盟名称,varchar(10),String,coalitionName,0,0,,1,1,1,0,LIKE,input,"",8,admin,2023-11-14 12:21:54,"",2023-11-14 12:24:12
23,6,id,资源id,int,Long,id,1,1,,1,,,,EQ,input,"",1,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
24,6,name,资源名称,varchar(10),String,name,0,0,,1,1,1,1,LIKE,input,"",2,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
25,6,price,资源单价(元),float,Long,price,0,0,,1,1,1,1,BETWEEN,input,"",3,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
26,6,brand,资源品牌,varchar(10),String,brand,0,0,,1,1,1,0,EQ,input,"",4,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
27,6,color,颜色,varchar(10),String,color,0,0,,1,1,1,0,EQ,input,"",5,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
28,6,size,尺寸,varchar(10),String,size,0,0,,1,1,1,0,EQ,input,"",6,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
29,6,quality,,float,Long,quality,0,0,,1,1,1,0,EQ,input,"",7,admin,2023-11-15 06:05:54,"",2023-11-15 06:06:42
41,8,id,企业编号,int,Long,id,1,1,,1,,,,EQ,input,"",1,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
42,8,name,企业名称,varchar(20),String,name,0,0,,1,1,1,1,LIKE,input,"",2,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
43,8,neighbor,企业邻居节点,varchar(50),String,neighbor,0,0,,1,1,1,0,EQ,input,"",3,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
44,8,skill_num,具有技能种类数量,int,Long,skillNum,0,0,,1,1,1,0,EQ,input,"",4,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
45,8,address,企业地址,varchar(50),String,address,0,0,,1,1,1,0,EQ,input,"",5,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
46,8,chain,所属产业链,varchar(50),String,chain,0,0,,1,1,1,1,EQ,input,"",6,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
47,8,park,所属园区,varchar(50),String,park,0,0,,1,1,1,0,EQ,input,"",7,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
48,8,state,当前状态,int,Long,state,0,0,1,1,1,1,1,EQ,input,"",8,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
49,8,task,任务编号,int,Long,task,0,0,1,1,1,1,1,EQ,input,"",9,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
50,8,ispublish,当前是否有任务发布,int,Long,ispublish,0,0,1,1,1,1,0,EQ,input,"",10,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
51,8,layer,所属网络层,int,Long,layer,0,0,1,1,1,1,0,EQ,input,"",11,admin,2023-12-07 07:52:39,"",2023-12-07 07:53:46
52,9,id,任务编号,int,Long,id,1,1,,0,,,1,EQ,input,"",1,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
53,9,name,任务名称,varchar(10),String,name,0,0,,1,1,1,1,LIKE,input,"",2,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
54,9,resource_num,任务所需资源数量,int,Long,resourceNum,0,0,,1,1,1,0,EQ,input,"",3,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
55,9,value,任务价值,int,Long,value,0,0,,1,1,1,0,EQ,input,"",4,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
56,9,ddl,截止日期,datetime,Date,ddl,0,0,,1,1,1,0,EQ,datetime,"",5,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
57,9,duration,持续时长,int,Long,duration,0,0,,1,1,1,0,EQ,input,"",6,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
58,9,state,任务状态,int,Long,state,0,0,,1,1,1,1,EQ,select,task_state,7,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
59,9,arrival_time,任务到达时间,datetime,Date,arrivalTime,0,0,,1,1,1,0,EQ,datetime,"",8,admin,2023-12-12 07:11:28,"",2023-12-12 07:18:06
