1,四月电池销量,小鸭家电,10,2023-05-01,2023-06-01,已完成,"南孚电池,超威电池","20,15","87,13",南孚电池,家电产业链,3,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
2,五月A型芯片计划产量,小鸭家电,50,2023-04-12,2022-04-13,已完成,"中兴公司,台积电","85,15","68,32",台积电,家电产业链,1,数据量偏小，不推荐,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量2"
3,618家电类销售综合数据,小鸭家电,100,2023-02-01,2022-02-12,已完成,"淘宝,京东,拼多多","20,15,42","21,25,54",京东,家电产业链,3,/,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量3"
5,双十一电视销售数据,闲鱼,100,2022-05-01,2022-06-01,已完成,"小鸭家电,苏宁家电,国美家电","20,15,23","56,13,31",小鸭家电,家电产业链,3,/,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
6,六月橡胶销量,小鸭家电,10,2023-05-01,2023-06-01,待交付,"三维股份,震安科技","19,21","46,54",南孚电池,家电产业链,4,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
7,四月电池销量,小鸭家电,10,2023-05-01,2023-06-01,已完成,"南孚电池,超威电池","20,15","87,13",南孚电池,家电产业链,3,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
8,五月A型芯片计划产量,小鸭家电,50,2023-04-12,2022-04-13,已完成,"中兴公司,台积电","85,15","68,32",台积电,家电产业链,1,数据量偏小，不推荐,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
9,618家电类销售综合数据,小鸭家电,100,2023-02-01,2022-02-12,已完成,"淘宝,京东,拼多多","20,15,42","21,25,54",京东,家电产业链,3,/,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
11,双十一电视销售数据,闲鱼,100,2022-05-01,2022-06-01,已完成,"小鸭家电,苏宁家电,国美家电","20,15,23","56,13,31",小鸭家电,家电产业链,3,/,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
12,六月橡胶销量,小鸭家电,10,2023-05-01,2023-06-01,待交付,"三维股份,震安科技","19,21","46,54",南孚电池,家电产业链,4,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
13,四月电池销量,小鸭家电,10,2023-05-01,2023-06-01,已完成,"南孚电池,超威电池","20,15","87,13",南孚电池,家电产业链,3,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
14,五月A型芯片计划产量,小鸭家电,50,2023-04-12,2022-04-13,已完成,"中兴公司,台积电","85,15","68,32",台积电,家电产业链,1,数据量偏小，不推荐,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
15,618家电类销售综合数据,小鸭家电,100,2023-02-01,2022-02-12,已完成,"淘宝,京东,拼多多","20,15,42","21,25,54",京东,家电产业链,3,/,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
17,双十一电视销售数据,闲鱼,100,2022-05-01,2022-06-01,已完成,"小鸭家电,苏宁家电,国美家电","20,15,23","56,13,31",小鸭家电,家电产业链,3,/,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
18,六月橡胶销量,小鸭家电,10,2023-05-01,2023-06-01,待交付,"三维股份,震安科技","19,21","46,54",南孚电池,家电产业链,4,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
19,六月橡胶销量,小鸭家电,10,2023-05-01,2023-06-01,进行中,"三维股份,震安科技","19,21","46,54",南孚电池,家电产业链,4,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
20,六月橡胶销量,小鸭家电,10,2023-05-01,2023-06-01,进行中,"三维股份,震安科技","19,21","46,54",南孚电池,家电产业链,4,符合要求,8,20,15,5,"南孚电池4月电池销量,超威电池4月电池销量"
50,为v从,"",2,2023-12-20,2024-11-07,"","","","","",vw,0,"",0,0,0,0,"南孚电池4月电池销量,超威电池4月电池销量"
51,产业链电池,小鸭家电,2,2023-12-20,2023-12-29,进行中,"","","","",汽车,0,"",0,0,0,0,"南孚电池4月电池销量,超威电池4月电池销量"
54,数据共享开发构件技术,小鸭家电,1,2023-12-20,2023-12-30,进行中,"","","","",产业链数据共享,0,"",0,0,0,0,"南孚电池4月电池销量,超威电池4月电池销量"
55,出去玩,小鸭家电,6,2023-12-27,2023-12-27,进行中,"","","","",分五二v,0,"",0,0,0,0,"南孚电池4月电池销量,超威电池4月电池销量"
